route_id,date,distance,distance_norm,len_cs,len_et,file_cs,file_et,time_cs,time_et
0521_B02,2022-06-03,0,0.0,59,59,0521_B02-20220603\0521_B02-20220603-092616-61-0.txt,0521_B02-20220603\0521_B02-20220603-102211-59-59.txt,092616,102211
0521_B02,2022-06-04,0,0.0,48,48,0521_B02-20220604\0521_B02-20220604-072706-48-0.txt,0521_B02-20220604\0521_B02-20220604-073804-48-48.txt,072706,073804
0521_B02,2022-06-09,0,0.0,77,77,0521_B02-20220609\0521_B02-20220609-074538-77-0.txt,0521_B02-20220609\0521_B02-20220609-084100-77-77.txt,074538,084100
0521_B02,2022-06-13,3,0.02158273381294964,139,136,0521_B02-20220613\0521_B02-20220613-083818-139-0.txt,0521_B02-20220613\0521_B02-20220613-100222-136-136.txt,083818,100222
0521_B02,2022-06-14,1,0.0136986301369863,73,72,0521_B02-20220614\0521_B02-20220614-074828-73-0.txt,0521_B02-20220614\0521_B02-20220614-083733-72-72.txt,074828,083733
0521_B02,2022-06-15,36,0.15450643776824036,233,197,0521_B02-20220615\0521_B02-20220615-083938-233-0.txt,0521_B02-20220615\0521_B02-20220615-095754-197-197.txt,083938,095754
0521_B02,2022-06-20,0,0.0,42,42,0521_B02-20220620\0521_B02-20220620-064330-42-0.txt,0521_B02-20220620\0521_B02-20220620-073917-42-42.txt,064330,073917
0521_B02,2022-06-21,2,0.02857142857142857,70,70,0521_B02-20220621\0521_B02-20220621-093701-70-0.txt,0521_B02-20220621\0521_B02-20220621-101318-70-70.txt,093701,101318
0521_B03,2022-06-01,4,0.10810810810810811,37,37,0521_B03-20220601\0521_B03-20220601-105156-37-0.txt,0521_B03-20220601\0521_B03-20220601-105328-37-37.txt,105156,105328
0521_B03,2022-06-03,0,0.0,66,66,0521_B03-20220603\0521_B03-20220603-085012-66-0.txt,0521_B03-20220603\0521_B03-20220603-092620-66-66.txt,085012,092620
0521_B03,2022-06-07,0,0.0,43,43,0521_B03-20220607\0521_B03-20220607-073721-43-0.txt,0521_B03-20220607\0521_B03-20220607-081043-43-43.txt,073721,081043
0521_B03,2022-06-08,0,0.0,88,88,0521_B03-20220608\0521_B03-20220608-083428-88-0.txt,0521_B03-20220608\0521_B03-20220608-092406-88-88.txt,083428,092406
0521_B03,2022-06-09,3,0.03225806451612903,93,90,0521_B03-20220609\0521_B03-20220609-064936-93-0.txt,0521_B03-20220609\0521_B03-20220609-073607-90-90.txt,064936,073607
0521_B03,2022-06-13,1,0.0125,79,80,0521_B03-20220613\0521_B03-20220613-065917-79-0.txt,0521_B03-20220613\0521_B03-20220613-073710-80-80.txt,065917,073710
0521_B03,2022-06-14,16,0.21052631578947367,62,76,0521_B03-20220614\0521_B03-20220614-065820-62-0.txt,0521_B03-20220614\0521_B03-20220614-080640-76-76.txt,065820,080640
0521_B03,2022-06-16,4,0.05333333333333334,73,75,0521_B03-20220616\0521_B03-20220616-074803-73-0.txt,0521_B03-20220616\0521_B03-20220616-090534-75-75.txt,074803,090534
0521_B03,2022-06-17,4,0.0547945205479452,71,73,0521_B03-20220617\0521_B03-20220617-073349-71-0.txt,0521_B03-20220617\0521_B03-20220617-090138-73-73.txt,073349,090138
0521_B03,2022-06-21,0,0.0,83,83,0521_B03-20220621\0521_B03-20220621-071244-83-0.txt,0521_B03-20220621\0521_B03-20220621-080210-83-83.txt,071244,080210
0521_B04,2022-06-01,1,0.009615384615384616,104,103,0521_B04-20220601\0521_B04-20220601-093825-104-0.txt,0521_B04-20220601\0521_B04-20220601-104750-103-103.txt,093825,104750
0521_B04,2022-06-03,0,0.0,56,56,0521_B04-20220603\0521_B04-20220603-074932-56-0.txt,0521_B04-20220603\0521_B04-20220603-080341-56-56.txt,074932,080341
0521_B04,2022-06-07,3,0.05,57,60,0521_B04-20220607\0521_B04-20220607-080250-57-0.txt,0521_B04-20220607\0521_B04-20220607-082812-60-60.txt,080250,082812
0521_B04,2022-06-08,0,0.0,104,104,0521_B04-20220608\0521_B04-20220608-075242-104-0.txt,0521_B04-20220608\0521_B04-20220608-084634-104-104.txt,075242,084634
0521_B04,2022-06-09,0,0.0,77,77,0521_B04-20220609\0521_B04-20220609-070347-77-0.txt,0521_B04-20220609\0521_B04-20220609-071014-77-77.txt,070347,071014
0521_B04,2022-06-10,5,0.07142857142857142,68,70,0521_B04-20220610\0521_B04-20220610-064914-68-0.txt,0521_B04-20220610\0521_B04-20220610-072718-70-70.txt,064914,072718
0521_B04,2022-06-15,4,0.1,40,40,0521_B04-20220615\0521_B04-20220615-104712-40-0.txt,0521_B04-20220615\0521_B04-20220615-104920-40-40.txt,104712,104920
0521_B04,2022-06-16,0,0.0,62,62,0521_B04-20220616\0521_B04-20220616-081303-62-0.txt,0521_B04-20220616\0521_B04-20220616-085314-62-62.txt,081303,085314
0521_B05,2022-06-01,0,0.0,53,53,0521_B05-20220601\0521_B05-20220601-094722-53-0.txt,0521_B05-20220601\0521_B05-20220601-103448-53-53.txt,094722,103448
0521_B05,2022-06-02,35,0.38461538461538464,91,79,0521_B05-20220602\0521_B05-20220602-080621-91-0.txt,0521_B05-20220602\0521_B05-20220602-105646-79-79.txt,080621,105646
0521_B05,2022-06-08,0,0.0,57,57,0521_B05-20220608\0521_B05-20220608-103944-57-0.txt,0521_B05-20220608\0521_B05-20220608-104438-57-57.txt,103944,104438
0521_B05,2022-06-13,3,0.05555555555555555,54,51,0521_B05-20220613\0521_B05-20220613-075812-54-0.txt,0521_B05-20220613\0521_B05-20220613-094746-51-51.txt,075812,094746
0521_B05,2022-06-14,1,0.017543859649122806,57,56,0521_B05-20220614\0521_B05-20220614-085730-57-0.txt,0521_B05-20220614\0521_B05-20220614-094100-56-56.txt,085730,094100
0521_B05,2022-06-15,0,0.0,81,81,0521_B05-20220615\0521_B05-20220615-090432-81-0.txt,0521_B05-20220615\0521_B05-20220615-100630-81-81.txt,090432,100630
0521_B05,2022-06-21,14,0.16470588235294117,71,85,0521_B05-20220621\0521_B05-20220621-071242-71-0.txt,0521_B05-20220621\0521_B05-20220621-074352-85-85.txt,071242,074352
0521_B05,2022-06-22,10,0.08849557522123894,113,113,0521_B05-20220622\0521_B05-20220622-064907-113-0.txt,0521_B05-20220622\0521_B05-20220622-073137-113-113.txt,064907,073137
0521_B06,2022-05-31,0,0.0,44,44,0521_B06-20220531\0521_B06-20220531-070809-44-0.txt,0521_B06-20220531\0521_B06-20220531-071723-44-44.txt,070809,071723
0521_B06,2022-06-15,20,0.2564102564102564,65,78,0521_B06-20220615\0521_B06-20220615-065650-65-0.txt,0521_B06-20220615\0521_B06-20220615-081711-78-78.txt,065650,081711
0521_B06,2022-06-17,30,0.44776119402985076,59,67,0521_B06-20220617\0521_B06-20220617-062155-59-0.txt,0521_B06-20220617\0521_B06-20220617-073619-67-67.txt,062155,073619
0521_B06,2022-06-20,0,0.0,55,55,0521_B06-20220620\0521_B06-20220620-072217-55-0.txt,0521_B06-20220620\0521_B06-20220620-075335-55-55.txt,072217,075335
0521_B06,2022-06-22,6,0.11320754716981132,47,53,0521_B06-20220622\0521_B06-20220622-065152-47-0.txt,0521_B06-20220622\0521_B06-20220622-073249-53-53.txt,065152,073249
0521_B07,2022-06-01,0,0.0,31,31,0521_B07-20220601\0521_B07-20220601-075726-31-0.txt,0521_B07-20220601\0521_B07-20220601-092526-31-31.txt,075726,092526
0521_B07,2022-06-02,2,0.037037037037037035,53,54,0521_B07-20220602\0521_B07-20220602-082302-53-0.txt,0521_B07-20220602\0521_B07-20220602-085755-54-54.txt,082302,085755
0521_B07,2022-06-10,0,0.0,73,73,0521_B07-20220610\0521_B07-20220610-073851-73-0.txt,0521_B07-20220610\0521_B07-20220610-083414-73-73.txt,073851,083414
0521_B07,2022-06-20,40,0.5714285714285714,70,70,0521_B07-20220620\0521_B07-20220620-064907-70-0.txt,0521_B07-20220620\0521_B07-20220620-071840-70-70.txt,064907,071840
0521_B08,2022-06-03,3,0.08333333333333333,33,36,0521_B08-20220603\0521_B08-20220603-101935-33-0.txt,0521_B08-20220603\0521_B08-20220603-104505-36-36.txt,101935,104505
0521_B08,2022-06-14,37,0.6271186440677966,59,59,0521_B08-20220614\0521_B08-20220614-080201-59-0.txt,0521_B08-20220614\0521_B08-20220614-081615-59-59.txt,080201,081615
0521_B08,2022-06-15,0,0.0,52,52,0521_B08-20220615\0521_B08-20220615-081704-52-0.txt,0521_B08-20220615\0521_B08-20220615-091201-52-52.txt,081704,091201
0521_B08,2022-06-20,1,0.022727272727272728,44,43,0521_B08-20220620\0521_B08-20220620-090300-44-0.txt,0521_B08-20220620\0521_B08-20220620-093159-43-43.txt,090300,093159
0521_B08,2022-06-22,1,0.01639344262295082,61,60,0521_B08-20220622\0521_B08-20220622-094321-61-0.txt,0521_B08-20220622\0521_B08-20220622-100037-60-60.txt,094321,100037
0521_B09,2022-06-14,6,0.07317073170731707,78,82,0521_B09-20220614\0521_B09-20220614-071449-78-0.txt,0521_B09-20220614\0521_B09-20220614-080342-82-82.txt,071449,080342
0521_B10,2022-06-02,4,0.05194805194805195,73,77,0521_B10-20220602\0521_B10-20220602-084216-73-0.txt,0521_B10-20220602\0521_B10-20220602-094942-77-77.txt,084216,094942
0521_B10,2022-06-03,4,0.0625,64,62,0521_B10-20220603\0521_B10-20220603-100940-64-0.txt,0521_B10-20220603\0521_B10-20220603-105725-62-62.txt,100940,105725
0521_B10,2022-06-08,0,0.0,76,76,0521_B10-20220608\0521_B10-20220608-082535-76-0.txt,0521_B10-20220608\0521_B10-20220608-091850-76-76.txt,082535,091850
0521_B10,2022-06-14,0,0.0,76,76,0521_B10-20220614\0521_B10-20220614-084303-76-0.txt,0521_B10-20220614\0521_B10-20220614-092854-76-76.txt,084303,092854
0521_B10,2022-06-15,1,0.038461538461538464,26,25,0521_B10-20220615\0521_B10-20220615-080316-27-0.txt,0521_B10-20220615\0521_B10-20220615-093334-25-25.txt,080316,093334
0521_B11,2022-06-15,0,0.0,33,33,0521_B11-20220615\0521_B11-20220615-102344-33-0.txt,0521_B11-20220615\0521_B11-20220615-104636-33-33.txt,102344,104636
0521_B12,2022-06-01,46,0.7666666666666667,60,60,0521_B12-20220601\0521_B12-20220601-095418-60-0.txt,0521_B12-20220601\0521_B12-20220601-103218-60-60.txt,095418,103218
0521_B13,2022-06-03,0,0.0,39,39,0521_B13-20220603\0521_B13-20220603-085145-39-0.txt,0521_B13-20220603\0521_B13-20220603-093956-39-39.txt,085145,093956
0521_B15,2022-06-10,1,0.017241379310344827,57,58,0521_B15-20220610\0521_B15-20220610-092536-57-0.txt,0521_B15-20220610\0521_B15-20220610-095839-58-58.txt,092536,095839
0521_B16,2022-06-13,0,0.0,28,28,0521_B16-20220613\0521_B16-20220613-083232-28-0.txt,0521_B16-20220613\0521_B16-20220613-102408-28-28.txt,083232,102408
0521_B17,2022-06-10,0,0.0,65,65,0521_B17-20220610\0521_B17-20220610-103341-65-0.txt,0521_B17-20220610\0521_B17-20220610-104805-65-65.txt,103341,104805
0521_B17,2022-06-22,0,0.0,51,51,0521_B17-20220622\0521_B17-20220622-093514-51-0.txt,0521_B17-20220622\0521_B17-20220622-095657-51-51.txt,093514,095657
0521_B26,2022-06-14,0,0.0,101,101,0521_B26-20220614\0521_B26-20220614-093523-101-0.txt,0521_B26-20220614\0521_B26-20220614-100135-101-101.txt,093523,100135
0521_O01,2022-06-04,0,0.0,46,46,0521_O01-20220604\0521_O01-20220604-064524-46-0.txt,0521_O01-20220604\0521_O01-20220604-070549-46-46.txt,064524,070549
0521_O01,2022-06-14,1,0.005376344086021506,185,186,0521_O01-20220614\0521_O01-20220614-084203-185-0.txt,0521_O01-20220614\0521_O01-20220614-093354-186-186.txt,084203,093354
0521_O02,2022-05-31,16,0.2318840579710145,53,69,0521_O02-20220531\0521_O02-20220531-082459-53-0.txt,0521_O02-20220531\0521_O02-20220531-091137-69-69.txt,082459,091137
0521_O02,2022-06-01,6,0.11320754716981132,53,53,0521_O02-20220601\0521_O02-20220601-090427-53-0.txt,0521_O02-20220601\0521_O02-20220601-093014-53-53.txt,090427,093014
0521_O02,2022-06-08,1,0.01818181818181818,54,55,0521_O02-20220608\0521_O02-20220608-093928-54-0.txt,0521_O02-20220608\0521_O02-20220608-100738-55-55.txt,093928,100738
0521_O02,2022-06-09,2,0.022988505747126436,86,87,0521_O02-20220609\0521_O02-20220609-091202-86-0.txt,0521_O02-20220609\0521_O02-20220609-094252-87-87.txt,091202,094252
0521_O02,2022-06-10,0,0.0,52,52,0521_O02-20220610\0521_O02-20220610-072140-52-0.txt,0521_O02-20220610\0521_O02-20220610-084233-52-52.txt,072140,084233
0521_O02,2022-06-13,0,0.0,158,158,0521_O02-20220613\0521_O02-20220613-084708-158-0.txt,0521_O02-20220613\0521_O02-20220613-103154-158-158.txt,084708,103154
0521_O02,2022-06-14,4,0.028985507246376812,138,134,0521_O02-20220614\0521_O02-20220614-090231-138-0.txt,0521_O02-20220614\0521_O02-20220614-105628-134-134.txt,090231,105628
0521_O02,2022-06-15,3,0.022727272727272728,132,131,0521_O02-20220615\0521_O02-20220615-084803-132-0.txt,0521_O02-20220615\0521_O02-20220615-103046-131-131.txt,084803,103046
0521_O02,2022-06-16,1,0.008064516129032258,123,124,0521_O02-20220616\0521_O02-20220616-082658-123-0.txt,0521_O02-20220616\0521_O02-20220616-083521-124-124.txt,082658,083521
0521_O02,2022-06-17,1,0.009523809523809525,105,104,0521_O02-20220617\0521_O02-20220617-075017-105-0.txt,0521_O02-20220617\0521_O02-20220617-103550-104-104.txt,075017,103550
0521_O02,2022-06-20,2,0.016,125,123,0521_O02-20220620\0521_O02-20220620-071404-125-0.txt,0521_O02-20220620\0521_O02-20220620-085447-123-123.txt,071404,085447
